Equals(RadiusOf(Circle(J)),10)
Equals(RadiusOf(Circle(K)),8)
Equals(LengthOf(Line(B,C)),5.4)
PointLiesOnLine(J, Line(A, B))
PointLiesOnLine(B, Line(A, C))
PointLiesOnLine(B, Line(A, K))
PointLiesOnLine(B, Line(A, D))
PointLiesOnLine(B, Line(J, C))
PointLiesOnLine(B, Line(J, K))
PointLiesOnLine(B, Line(J, D))
PointLiesOnLine(C, Line(A, K))
PointLiesOnLine(C, Line(A, D))
PointLiesOnLine(C, Line(J, K))
PointLiesOnLine(C, Line(J, D))
PointLiesOnLine(C, Line(B, K))
PointLiesOnLine(C, Line(B, D))
PointLiesOnLine(K, Line(A, D))
PointLiesOnLine(K, Line(J, D))
PointLiesOnLine(K, Line(B, D))
PointLiesOnLine(K, Line(C, D))
PointLiesOnCircle(A, Circle(J, radius_2_0))
PointLiesOnCircle(C, Circle(J, radius_2_0))
PointLiesOnCircle(B, Circle(K, radius_2_0))
PointLiesOnCircle(D, Circle(K, radius_5_0))
