Equals(LengthOf(Line(C, G)), 12.25)
Equals(LengthOf(Line(A, G)), y)
Equals(LengthOf(Line(A, F)), 2x)
Equals(LengthOf(Line(B, F)), 24)
Equals(LengthOf(Line(D, C)), 9)
Equals(LengthOf(Line(B, D)), x)
PointLiesOnLine(F, Line(A, B))
PointLiesOnLine(G, Line(A, C))
PointLiesOnLine(B, Line(A, D))
PointLiesOnLine(F, Line(A, D))
PointLiesOnLine(B, Line(D, F))
PointLiesOnCircle(B, Circle(E, radius_4_0))
PointLiesOnCircle(C, Circle(E, radius_4_0))
PointLiesOnCircle(F, Circle(E, radius_4_0))
PointLiesOnCircle(G, Circle(E, radius_4_0))
